院校名称	国家	城市	类别	详细
庆南情报大学	韩国	부산광역시	私立	简介 评论收藏 加入对比
梅西大学	新西兰	Palmerston North, Auckland, Wellington, 	公立	简介 评论收藏 加入对比
爱荷华大学(爱荷华市)	美国	Iowa City	公立	简介 评论收藏 加入对比
筑波大学	日本	つくば市	国立	简介 评论收藏 加入对比
曼海姆大学	德国	Mannheim	公立	简介 评论收藏 加入对比
东京工业大学	日本	目黑區	国立	简介 评论收藏 加入对比
耶拿大学	德国	Jena	公立	简介 评论收藏 加入对比
韩城大学	韩国	서울특별시	私立	简介 评论收藏 加入对比
麻省大学波士顿分校(波士顿)	美国	Boston	公立	简介 评论收藏 加入对比
肯高迪亚大学	加拿大	Montreal	公立	简介 评论收藏 加入对比
延世大学	韩国	서울,신촌시,원주시	私立	简介 评论收藏 加入对比
挪威科技大学	挪威	Trondheim	公立	简介 评论收藏 加入对比
车里雅宾斯克国立农业工程大学	俄罗斯	Челябинск	国立	简介 评论收藏 加入对比
格里菲斯大学	澳大利亚	Gold Coast and Brisbane	公立	简介 评论收藏 加入对比
卡尔加里大学	加拿大	Calgary	公立	简介 评论收藏 加入对比
达姆施塔特工业大学	德国	Darmstadt	公立	简介 评论收藏 加入对比
乔治华盛顿大学(华盛顿)	美国	Washington	私立	简介 评论收藏 加入对比
南澳大学	澳大利亚	Adelaide	公立	简介 评论收藏 加入对比
奥塔哥大学	新西兰	Dunedin	公立	简介 评论收藏 加入对比
建国大学	韩国	서울특별시	私立	简介 评论收藏 加入对比
弗赖堡大学	德国	Freiburg im Breisgau	公立	简介 评论收藏 加入对比
卡迪夫大学	英国	Cardiff	公立	简介 评论收藏 加入对比
莱顿大学	荷兰	Leiden	公立	简介 评论收藏 加入对比
莱斯特大学	英国	Leicester	公立	简介 评论收藏 加入对比
迪肯大学	澳大利亚	Geelong, Melbourne, Warrnambool	公立	简介 评论收藏 加入对比
隆德大学	瑞典	Lund	公立	简介 评论收藏 加入对比
劳里埃大学	加拿大	Waterloo	公立	简介 评论收藏 加入对比
屯特大学	荷兰	Enschede	公立	简介 评论收藏 加入对比
卡罗林斯卡学院	瑞典	Stockholm	不详	简介 评论收藏 加入对比
芝加哥哥伦比亚学院(芝加哥)	美国	Chicago	私立	简介 评论收藏 加入对比
伦敦国王学院	英国	London	公立	简介 评论收藏 加入对比
加州大学旧金山分校(旧金山)	美国	San Francisco	公立	简介 评论收藏 加入对比
圣玛丽大学	加拿大	Halifax	公立	简介 评论收藏 加入对比
华盛顿大学(西雅图)	美国	Seattle	公立	简介 评论收藏 加入对比
多特蒙德工业大学	德国	Dortmund	不详	简介 评论收藏 加入对比
伊利诺斯大学香槟分校(香槟)	美国	Champaign	公立	简介 评论收藏 加入对比
拉筹伯大学	澳大利亚	Melbourne	公立	简介 评论收藏 加入对比
巴黎师范学院	法国	0	公立	简介 评论收藏 加入对比
麻省大学阿姆赫斯特分校(阿姆斯特)	美国	Amherst	公立	简介 评论收藏 加入对比
淡马锡理工学院	新加坡	Singapore	公立	简介 评论收藏 加入对比
谢菲尔德大学	英国	Sheffield 	公立	简介 评论收藏 加入对比
新加坡理工学院	新加坡	Singapore	公立	简介 评论收藏 加入对比
乔治亚理工学院(亚特兰大)	美国	Atlanta	公立	简介 评论收藏 加入对比
加州大学欧文分校(欧文)	美国	Irvine	公立	简介 评论收藏 加入对比
本特利学院(沃尔瑟姆)(现名：本特利大学)	美国	Waltham	私立	简介 评论收藏 加入对比
汤姆森河大学	加拿大	Kamloops	公立	简介 评论收藏 加入对比
圣安德鲁斯大学	英国	St Andrews	公立	简介 评论收藏 加入对比
苏黎世大学	瑞士	Zürich	公立	简介 评论收藏 加入对比
密歇根州立大学(东兰辛)	美国	East Lansing	公立	简介 评论收藏 加入对比
